ID;Word;Rules;Key1;Key2;Key3;Key4;Key5;Key6;Key7;Key8;Key9;Key10;Key11;Key12;Key13;Key14;Key15;Stop1;Stop2;Stop3;Stop4;Stop5;Rules_FILTER;FILTER_brand
1;WEZZER PLATINUM 5W-40;1;PLATINUM;5W-40;;;;;;;;;;;;;;;;;;;1;WEZZER
2;WEZZER PLATINUM 5W-40;1;PLATINUM;5W40;;;;;;;;;;;;;;;;;;;1;WEZZER
3;WEZZER PLATINUM 5W-40;0;5W-40;5W40;5x40; 5/40;;;;;;;;;;;;15W-40;15W40;;;;1;WEZZER
5;WEZZER LUXE 5W-30;1;LUXE;5W-30;;;;;;;;;;;;;;;;;;;1;WEZZER
6;WEZZER LUXE 5W-30;1;LUXE;5W30;;;;;;;;;;;;;;;;;;;1;WEZZER
7;WEZZER LUXE 5W-30;0;5W-30;5W30;5x30;;;;;;;;;;;;;;;;;;1;WEZZER
9;WEZZER 10W-40;1;10W-40;;;;;;;;;;;;;;;дизель;diesel;4т;ci-4;;1;WEZZER
10;WEZZER 10W-40;1;10W40;;;;;;;;;;;;;;;diesel;4t;4т;4ых тактное;ci-4;1;WEZZER
11;WEZZER 10W-40;0; 10/40;10v40;;;;;;;;;;;;;;;;;;;1;WEZZER
12;WEZZER 15W-40;0;15W-40;15х40;;;;;;;;;;;;;;дизель;diesel;;;;1;WEZZER
13;WEZZER 20W-50;0;20W-50;20w50;20х50;;;;;;;;;;;;;;;;;;1;WEZZER
14;WEZZER М-8В SAE 20W-20;0;М-8В;М8В;;;;;;;;;;;;;;;;;;;1;WEZZER
15;WEZZER DIESEL 10W-40;1;10W-40;дизель;;;;;;;;;;;;;;;;;;;1;WEZZER
16;WEZZER DIESEL 10W-40;1;10W-40;diesel;;;;;;;;;;;;;;;;;;;1;WEZZER
17;WEZZER DIESEL 10W-40;1;10W-40;ci-4;;;;;;;;;;;;;;4т;;;;;1;WEZZER
