Id;Word;Rules;Key1;Key2;Key3;Key4;Key5;Key6;Stop1;Stop2;Stop3;Stop4;Stop5;Stop6;Stop7;Stop8;Stop9;Stop10
6;2T special outboard;0;outboard;;;;;;;;;;;;;;;
14;DIAMOND;0;DIAMOND;diamo;dimond;diomond;;;CARAT;ECP ;FS;MULTI;EXTREME;EC;;;;
23;gold;0;gold;голд;cold;;;;FE;gold L;gold S;gold(s);gold-s;golds s;goldl;gоld l;gold  l;cold l
32;HYDRAULIC ;1;HYDRAULIC;;;;;;HFDU;HFAE;VA;;;;;;;
35;Hydraulic;1;hydrauliс;;;;;;Polar;Hydraulic S;VA;ZF;;;;;;
40;hypoid;1;hypoid;;;;;;LS;hypoid M;;;;;;;;
43;Larita ;1;LARITA;;;;;;ZF;BL;;;;;;;;
52;silver;0;сильвер;Sover;silwer;Siver;silver;solver;silver sn;silver L;;;;;;;;
57;super;1;super;;;;;;HPD;XLD;XLD-2;XLD-3;hp;ECV;PLUS;EEV;hrd;superbike
55;silver sn;0;silwer sn;siver sn;solver sn;;;;;;;;;;;;;
